X,Y,OBJECTID,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,BSTP_LON,BSTP_LAT
-76.8243462260662,38.8917497917756,11,1310347,3001005,5206,PRS,1989/02/26 05:00:00+00,REV,LARGO RD,CAMPUS WAY S,209,NEA,N OF ENTR TO FIRE STATION,CAMPUS WAY S + LARGO RD,,WSV,2017/01/18 19:38:10+00,0,EXM,NAPP,N,N,E,N,NON,EXM,EXM,E,N,E,6,N,E,Y,NON,NON,4.30000019073486,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,NPL,0,N,Y,N,N,U,N,N,U,-76.824344,38.891742
-77.0035152816549,38.817694773714,12,1312024,3004293,18683,PRS,2014/04/01 04:00:00+00,UNK,DOLLAR TREE STORE,EASTOVER SHOPPING CENTER,170,ATP,ON UPRIGHT,EASTOVER SHOPPING CENTER + DOLLAR TREE STORE,,UNK,1900/01/01 05:00:00+00,,UNK,UNKW,U,U,U,U,UNK,UNK,UNK,U,U,U,0,U,U,U,UNK,UNK,,U,U,U,U,U,U,U,U,U,U,U,UNK,,U,U,U,U,U,U,U,U,-77.003513,38.817687
-76.9904652778225,38.8048947656133,13,1306824,3000358,843,PRS,1901/01/01 05:00:00+00,REV,OXON HILL RD,LIVINGSTON RD,180,NEA,ADJ TO #6251,LIVINGSTON RD + OXON HILL RD,,KFH,2006/09/20 04:00:00+00,0,UNK,UNKW,N,N,N,N,SWK,CON,NON,N,N,E,4,N,N,N,NON,UNK,7.09999990463257,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,NPL,,U,Y,U,N,U,U,U,U,-76.990463,38.804887
-77.0483612941067,38.9114677835719,14,1307520,1001520,6599,PRS,1953/03/04 05:00:00+00,REV,FLORIDA AVE NW,MASSACHUSETTS AVE NW,294,NEA,BEG 66' E OF E CURB-EXTD E 95',MASSACHUSETTS AVE NW + FLORIDA AVE NW,,KFH,2009/06/12 04:00:00+00,1,INS,WMAT,N,Y,Y,Y,58U,CON,NON,Y,N,E,5,Y,Y,N,NON,UNK,4.19999980926514,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NPL,,U,N,U,Y,U,U,U,U,-77.048359,38.91146
-77.1577363324142,38.8721727743846,15,1302412,5001254,4001,PRS,1901/01/01 05:00:00+00,REV,LEESBURG PIKE,ARLINGTON BLVD,90,NEA,"ON SERV RDWY, FRT OF CAR DEALER",ARLINGTON BLVD + LEESBURG PIKE,,FCO,1900/01/01 05:00:00+00,0,UNK,NAPP,N,N,N,N,58U,BRK,NON,Y,N,E,8,N,Y,N,NON,NON,3.59999990463257,Y,N,Y,N,N,N,N,N,N,N,N,NPL,150,N,N,U,N,U,U,U,U,-77.157734,38.872165
-77.0687583045812,38.844843771287,16,1303392,6000806,14063,PRS,1901/01/01 05:00:00+00,UNK,SHIRLEY PARK SHOPPING CENTER,VA-120,269,UNK,BETW LANG & MEADE STS,VA-120 + SHIRLEY PARK SHOPPING CENTER,,KFH,2009/05/26 04:00:00+00,,UNK,UNKW,N,N,N,N,58O,CON,NON,Y,N,E,7,Y,Y,N,NON,UNK,5.59999990463257,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,NPL,,U,Y,U,N,U,U,U,U,-77.068756,38.844836
-77.029497292593,38.9028577902007,17,1307318,1001258,6076,PRS,1901/01/01 05:00:00+00,REV,K ST NW,13TH ST NW,1,FAR,N END OF DC SHELTER,13TH ST NW + K ST NW,,KFH,2009/07/02 04:00:00+00,1,INS,WMAT,N,Y,N,Y,58O,CON,SHL,Y,N,E,7,N,Y,N,NON,UNK,7.59999990463257,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,,Y,Y,U,N,U,U,U,U,-77.029495,38.90285
-77.0851873120544,38.9615107969594,18,1311839,2005426,20453,PRS,2012/05/15 04:00:00+00,UNK,BUS BAY D,FRIENDSHIP HEIGHTS STATION,45,ATP,BASED PLATED,FRIENDSHIP HEIGHTS STATION + BUS BAY C,,KFH,2012/03/16 04:00:00+00,1,FRE,WMAT,Y,Y,N,N,58U,BRK,NON,Y,N,E,20,Y,Y,Y,NON,NON,5.59999990463257,Y,Y,U,E,Y,Y,E,E,N,N,N,NPL,150,N,Y,Y,Y,U,U,U,U,-77.085185,38.961503
-77.0855243096404,38.9613977945565,19,1304246,2000024,8945,PRS,1901/01/01 05:00:00+00,UNK,BUS BAY C,FRIENDSHIP HEIGHTS STATION,45,ATP,BASED PLATED,FRIENDSHIP HEIGHTS STATION + BUS BAY B,,KFH,2012/03/16 04:00:00+00,1,FRE,WMAT,Y,Y,N,N,58U,BRK,NON,Y,Y,N,20,Y,Y,Y,NON,NON,5.69999980926514,Y,Y,U,E,Y,Y,E,E,N,N,N,NPL,150,N,Y,Y,Y,U,U,U,U,-77.085522,38.96139
-77.0654722995198,38.9050437828913,20,1307507,1001318,6204,PRS,1956/08/27 04:00:00+00,REV,POTOMAC ST NW,M ST NW,89,NEA,FRT OF #3284,M ST NW + POTOMAC ST NW,,KFH,2006/05/22 04:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,BRK,NON,Y,N,E,5,Y,Y,N,NON,UNK,4.90000009536743,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,NSG,,N,Y,U,Y,U,U,U,U,-77.06547,38.905036
